pdb,sp_primary,chain,sp_beg,sp_end
2f4j,P00519,A,227,513
2fo0,P00519,A,38,512
2frw,O43639,A,114,170
2fry,O43639,A,198,256
2g1t,P00519,A,229,512
2g1t,P00519,B,229,512
2g1t,P00519,C,229,512
2g1t,P00519,D,229,512
2g2f,P00519,A,229,512
2g2f,P00519,B,229,512
2g2h,P00519,A,229,512
2g2h,P00519,B,229,512
2g2i,P00519,A,229,512
2g2i,P00519,B,229,512
2ge9,Q06187,A,269,387
2gqg,P00519,A,229,500
2gqg,P00519,B,229,500
2gqi,P20936,A,282,339
2gsb,P20936,A,341,446
2h46,P62993,E,53,162
2h5k,P62993,A,53,162
2h5k,P62993,B,53,162
2h8h,P12931,A,2,536
2hck,P08631,A,79,526
2hck,P08631,B,79,526
2hda,P07947,A,90,152
2hiw,P00519,A,230,512
2hiw,P00519,B,230,512
2hk5,P08631,A,247,514
2hsp,P19174,A,790,852
2huw,P62993,A,53,162
2huw,P62993,B,53,162
2hyy,P00519,A,228,500
2hyy,P00519,B,228,500
2hyy,P00519,C,228,500
2hyy,P00519,D,228,500
2hz0,P00519,A,228,497
2hz0,P00519,B,228,497
2hz4,P00519,A,228,500
2hz4,P00519,B,228,500
2hz4,P00519,C,228,500
2hzi,P00519,A,229,500
2hzi,P00519,B,229,500
2iim,P06239,A,59,119
2iug,P27986,A,321,440
2iuh,P27986,A,321,440
2iui,P27986,A,321,440
2iui,P27986,B,321,440
2izv,Q8WXH5,A,274,437
2j05,P20936,A,281,341
2j05,P20936,B,281,341
2j06,P20936,A,281,341
2j06,P20936,B,281,341
2js0,P16333,A,107,165
2js2,P16333,A,1,61
2jw4,P16333,A,1,63
2jxb,O43639,A,1,59
2k2j,P16885,A,471,913
2k4p,O15357,A,1194,1258
2ka4,P52630,B,786,838
2kgt,Q13882,A,1,72
2kk1,P42684,A,1058,1182
2kk6,P16591,A,453,557
2kno,Q63HR2,A,1135,1249
2kso,O15357,B,1200,1258
2kt1,O00459,A,1,80
2l1c,P29353,A,127,317
2l4k,Q14451,A,415,532
2l6k,Q63HR2,A,1135,1248
2lct,P15498,A,664,767
2lmj,Q08881,A,171,231
2lnw,P52735,A,659,771
2lnx,P52735,A,659,771
2loz,Q63HR2,A,1263,1409
2lqn,P46109,A,1,303
2lqw,P46109,A,1,303
2lul,P42680,A,1,154
2m51,P20936,A,281,341
2mc1,P15498,A,664,767
2mk2,O15357,A,20,117
2mqi,P06241,A,148,248
2mrj,P06241,A,148,248
2mrk,P06241,A,149,248
2mrk,P06241,B,528,537
2ms4,P46108,B,216,224
2o88,P00519,A,64,121
2o88,P00519,B,64,121
2of2,P06239,A,231,501
2of4,P06239,A,231,501
2ofu,P06239,A,229,501
2ofv,P06239,A,232,498
2ofv,P06239,B,232,498
2og8,P06239,A,237,499
2og8,P06239,B,237,499
2oi3,P08631,A,61,141
2oj2,P08631,A,61,141
2oq1,P43403,A,3,256
2osa,P15882,A,260,459
2ozo,P43403,A,1,606
2pl0,P06239,A,225,509
2qms,Q14451,A,415,532
2qms,Q14451,B,415,532
2qms,Q14451,C,415,532
2qms,Q14451,D,415,532
2rd0,P27986,B,322,600
2rmx,P29350,A,110,214
2ror,P15498,A,629,775
2shp,Q06124,A,1,529
2shp,Q06124,B,1,529
2src,P12931,A,86,536
2v1y,P27986,B,431,600
2v7a,P00519,A,227,512
2v7a,P00519,B,227,512
2vif,O14544,A,361,499
2vvk,P62993,A,161,214
2vwf,P62993,A,158,214
2w0z,P62993,A,158,214
2w2w,P16885,A,470,913
2w2w,P16885,B,470,913
2w2w,P16885,C,470,913
2w2w,P16885,D,470,913
2w2w,P16885,E,470,913
2w2w,P16885,F,470,913
2w2w,P16885,G,470,913
2w2w,P16885,H,470,913
2w2w,P16885,I,470,913
2w2w,P16885,J,470,913
2w2w,P16885,K,470,913
2w2w,P16885,L,470,913
2w2x,P16885,C,470,913
2w2x,P16885,D,470,913
2xs6,O00459,A,108,298
2xyn,P42684,A,279,546
2xyn,P42684,B,279,546
2xyn,P42684,C,279,546
2y1n,P43403,B,286,297
2y1n,P43403,D,286,297
2ysx,Q92835,A,1,112
2yu7,P29350,A,110,214
2yuq,Q08881,A,162,239
2z0p,Q06187,A,2,170
2z0p,Q06187,B,2,170
2z0p,Q06187,C,2,170
2z0p,Q06187,D,2,170
2zm1,P06239,A,225,509
2zm4,P06239,A,225,509
2zyb,P06239,A,225,509
3a4o,P07948,X,233,512
3ac1,P06239,A,225,509
3ac2,P06239,A,225,509
3ac3,P06239,A,225,509
3ac4,P06239,A,225,509
3ac5,P06239,A,225,509
3ac8,P06239,A,225,509
3acj,P06239,A,225,509
3ack,P06239,A,225,509
3ad4,P06239,A,225,509
3ad5,P06239,A,225,509
3ad6,P06239,A,225,509
3b2w,P06239,A,226,502
3b7o,Q06124,A,237,529
3bji,P15498,A,189,565
3bji,P15498,B,189,565
3bkb,P07332,A,448,822
3brh,P06239,C,391,397
3brh,P06239,D,391,397
3buw,P43405,A,317,329
3buw,P43405,C,317,329
3bym,P06239,A,230,501
3byo,P06239,A,231,501
3bys,P06239,A,225,501
3byu,P06239,A,225,501
3c7i,P62993,A,53,162
3cbl,P07332,A,448,822
3cd3,P07332,A,448,822
3cs9,P00519,A,229,500
3cs9,P00519,B,229,500
3cs9,P00519,C,229,500
3cs9,P00519,D,229,500
3cxl,P15882,A,15,459
3d7t,P41240,A,188,450
3d7u,P41240,A,188,450
3d7u,P41240,C,188,450
3eac,P41240,A,73,178
3eaz,P41240,A,73,178
3eg0,P00519,A,60,121
3eg1,P00519,A,60,121
3eg1,P00519,B,60,121
3eg2,P00519,A,60,121
3eg3,P00519,A,60,121
3egu,P00519,A,60,121
3emg,P43405,A,349,635
3fqe,P43405,A,356,635
3fqh,P43405,A,356,635
3fqh,P43405,B,356,635
3fqs,P43405,A,356,635
3gen,Q06187,A,382,659
3gvu,P42684,A,279,546
3h0f,P06241,A,73,142
3h0h,P06241,A,73,142
3h0i,P06241,A,73,142
3h0i,P06241,B,73,142
3hck,P08631,A,139,245
3hhm,P27986,B,322,694
3hiz,P27986,B,322,694
3hk0,Q13322,A,164,415
3hk0,Q13322,B,164,415
3hmi,P42684,A,279,546
3hqc,Q63HR2,A,1264,1409
3i5r,P27986,A,1,83
3i5s,P27986,A,1,83
3i5s,P27986,B,1,83
3i5s,P27986,C,1,83
3i5s,P27986,D,1,83
3imd,P62993,A,53,163
3imd,P62993,B,53,163
3imj,P62993,A,53,163
3imj,P62993,B,53,163
3in7,P62993,A,53,163
3in7,P62993,C,53,163
3in8,P62993,A,53,163
3k2m,P00519,A,121,232
3k2m,P00519,B,121,232
3k54,Q06187,A,382,659
3kfj,P62993,A,53,163
3kmm,P06239,A,229,509
3kxz,P06239,A,225,509
3ky9,P15498,A,2,584
3ky9,P15498,B,2,584
3lck,P06239,A,231,501
3miy,Q08881,A,357,620
3miy,Q08881,B,357,620
3mj1,Q08881,A,357,620
3mj2,Q08881,A,357,620
3mow,Q06124,A,261,532
3mpm,P06239,A,237,501
3mtt,O00459,A,433,610
3mxc,P62993,A,55,152
3mxy,P62993,A,55,152
3n7y,P62993,A,55,152
3n7y,P62993,B,55,152
3n7y,P62993,C,55,152
3n84,P62993,A,53,163
3n84,P62993,B,53,163
3n84,P62993,C,53,163
3n84,P62993,D,53,163
3n84,P62993,E,53,163
3n84,P62993,F,53,163
3n8m,P62993,A,53,163
3nhn,P08631,A,72,256
3nr8,O15357,A,419,732
3nr8,O15357,B,419,732
3o5x,Q06124,A,262,532
3o5z,O00459,A,1,85
3o5z,O00459,B,1,85
3ocs,Q06187,A,393,656
3oct,Q06187,A,393,656
3ov1,P62993,A,53,163
3ove,P62993,A,53,163
3p08,Q06187,A,393,659
3p08,Q06187,B,393,659
3pix,Q06187,A,387,659
3piy,Q06187,A,387,659
3piz,Q06187,A,387,659
3pj1,Q06187,A,387,659
3pj2,Q06187,A,387,659
3pj3,Q06187,A,387,659
3pqz,Q14451,A,416,532
3pqz,Q14451,B,416,532
3pqz,Q14451,C,416,532
3pqz,Q14451,D,416,532
3ps5,P29350,A,1,595
3pyy,P00519,A,229,512
3pyy,P00519,B,229,512
3qgw,Q08881,A,357,620
3qgw,Q08881,B,357,620
3qgy,Q08881,A,357,620
3qgy,Q08881,B,357,620
3qri,P00519,A,229,499
3qri,P00519,B,229,499
3qrj,P00519,A,229,499
3qrj,P00519,B,229,499
3qrk,P00519,A,229,499
3rbb,P08631,B,79,138
3rbb,P08631,D,79,138
3rea,P08631,B,79,138
3rea,P08631,D,79,138
3reb,P08631,B,79,138
3reb,P08631,D,79,138
3s8l,P62993,A,53,163
3s8n,P62993,A,53,163
3s8o,P62993,A,53,163
3srv,P43405,A,360,635
3srv,P43405,B,360,635
3t04,P00519,A,112,232
3t6a,O75815,A,502,825
3t6a,O75815,B,502,825
3t6a,O75815,C,502,825
3t6a,O75815,D,502,825
3t6g,Q8N5H7,A,539,860
3t6g,Q8N5H7,C,539,860
3t9t,Q08881,A,354,620
3tkz,Q06124,A,1,106
3tl0,Q06124,A,1,106
3tub,P43405,A,343,635
3tuc,P43405,A,343,635
3tud,P43405,A,343,635
3ua6,P06241,A,81,143
3ua6,P06241,B,81,143
3ua7,P06241,A,81,143
3ua7,P06241,B,81,143
3ua7,P06241,C,81,143
3ua7,P06241,D,81,143
3ue4,P00519,A,229,512
3ue4,P00519,B,229,512
3ulr,P42684,C,563,579
3us4,P42679,A,117,213
3uyo,P00519,A,112,232
3v5j,Q08881,A,357,620
3v5j,Q08881,B,357,620
3v5l,Q08881,A,357,620
3v5l,Q08881,B,357,620
3v5l,Q08881,C,357,620
3v5l,Q08881,D,357,620
3v8t,Q08881,A,357,620
3v8t,Q08881,B,357,620
3v8w,Q08881,A,357,620
3v8w,Q08881,B,357,620
3vf8,P43405,A,343,635
3vf9,P43405,A,343,635
3vro,P12931,B,412,424
3vry,P08631,A,81,526
3vry,P08631,B,81,526
3vrz,P08631,A,81,526
3vrz,P08631,B,81,526
3vs0,P08631,A,81,526
3vs0,P08631,B,81,526
3vs1,P08631,A,81,526
3vs1,P08631,B,81,526
3vs2,P08631,A,81,526
3vs2,P08631,B,81,526
3vs3,P08631,A,81,526
3vs3,P08631,B,81,526
3vs4,P08631,A,81,526
3vs4,P08631,B,81,526
3vs5,P08631,A,81,526
3vs5,P08631,B,81,526
3vs6,P08631,A,81,526
3vs6,P08631,B,81,526
3vs7,P08631,A,81,526
3vs7,P08631,B,81,526
3wa4,P62993,A,60,152
3zm0,Q06124,A,248,527
3zm1,Q06124,A,248,527
3zm2,Q06124,A,248,527
3zm3,Q06124,A,248,527
3zmp,P12931,C,527,536
3zmp,P12931,D,527,536
3zmq,P12931,C,527,536
3zni,P43403,B,286,297
3zni,P43403,F,286,297
3zni,P43403,J,286,297
3zni,P43403,N,286,297
4a4b,P43403,B,286,297
4a4c,P43403,B,286,297
4a55,P27986,B,322,600
4a9c,O15357,A,419,732
4a9c,O15357,B,419,732
4c3f,P06239,A,237,501
4d8d,P06241,A,84,141
4d8d,P06241,C,84,141
4d8k,P06239,A,53,226
4dfl,P43405,A,363,635
4dfn,P43405,A,363,635
4dgp,Q06124,A,1,532
4dgx,Q06124,A,1,532
4dyl,P07332,A,1,405
4e6r,O43639,A,114,170
4e6r,O43639,B,114,170
4e93,P07332,A,448,822
4eih,P42684,A,165,273
4eik,P06241,A,81,143
4ey0,P19174,A,545,790
4ey0,P19174,B,545,790
4ey0,P19174,C,545,790
4ey0,P19174,D,545,790
4f4p,P43405,A,365,635
4f59,P12931,A,144,252
4f5a,P12931,A,144,252
4f5b,P12931,A,144,252
4fbn,P19174,A,545,790
4fl1,P43405,A,356,635
4fl2,P43405,A,1,635
4fl3,P43405,A,1,635
4fss,P20936,A,281,341
4fss,P20936,B,281,341
4fss,P20936,C,281,341
4fyn,P43405,A,356,635
4fyo,P43405,A,356,635
4fz6,P43405,A,356,635
4fz7,P43405,A,356,635
4gfg,P43405,A,356,635
4gry,P29350,A,243,528
4grz,P29350,A,243,528
4gs0,P29350,A,243,528
4gs0,P29350,B,243,528
4gwf,Q06124,A,1,539
4gwf,Q06124,B,1,539
4h1o,Q06124,A,1,539
4h34,Q06124,A,1,539
4hck,P08631,A,72,143
4hct,Q08881,A,354,620
4hcu,Q08881,A,354,620
4hcv,Q08881,A,354,620
4hjp,P29350,A,243,528
4hjq,P29350,A,243,528
4hjq,P29350,B,243,528
4hxj,P12931,A,87,144
4hxj,P12931,B,87,144
4i0r,P43405,A,356,635
4i0s,P43405,A,356,635
4i0t,P43405,A,356,635
4j9b,P00519,A,60,121
4j9c,P00519,A,60,121
4j9d,P00519,A,60,121
4j9d,P00519,C,60,121
4j9d,P00519,E,60,121
4j9e,P00519,A,60,121
4j9e,P00519,C,60,121
4j9e,P00519,E,60,121
4j9f,P00519,A,60,121
4j9f,P00519,C,60,121
4j9f,P00519,E,60,121
4j9g,P00519,A,60,121
4j9g,P00519,C,60,121
4j9g,P00519,E,60,121
4j9h,P00519,A,60,121
4j9h,P00519,B,60,121
4j9h,P00519,C,60,121
4j9h,P00519,D,60,121
4j9h,P00519,E,60,121
4j9h,P00519,F,60,121
4j9i,P00519,A,60,121
4j9i,P00519,C,60,121
4j9i,P00519,E,60,121
4je4,Q06124,A,1,103
4jeg,Q06124,A,97,217
4jgh,O14508,A,32,198
4jjb,P00519,A,60,121
4jjc,P00519,A,60,121
4jjd,P00519,A,60,121
4jmg,Q06124,B,575,587
4jmh,P29353,B,344,356
4jps,P27986,B,307,593
4k11,P12931,A,87,534
4k2r,P43403,A,1,606
4k81,Q14449,A,106,356
4k81,Q14449,C,106,356
4k81,Q14449,E,106,356
4k81,Q14449,G,106,356
4kio,Q08881,A,357,620
4kio,Q08881,B,357,620
4kio,Q08881,C,357,620
4kio,Q08881,D,357,620
4l1b,P27986,B,318,615
4l23,P27986,B,318,615
4l2y,P27986,B,318,615
4l7s,Q08881,A,357,620
4l7s,Q08881,B,357,620
4lud,P08631,A,81,526
4lud,P08631,B,81,526
4lue,P08631,A,81,526
4lue,P08631,B,81,526
4m0y,Q08881,A,354,620
4m0z,Q08881,A,354,620
4m12,Q08881,A,354,620
4m13,Q08881,A,354,620
4m14,Q08881,A,354,620
4m15,Q08881,A,354,620
4m4z,Q9H6Q3,A,29,193
4mf0,Q08881,A,357,620
4mf0,Q08881,B,357,620
4mf1,Q08881,A,357,620
4mf1,Q08881,B,357,620
4mxo,P12931,A,254,536
4mxo,P12931,B,254,536
4mxx,P12931,A,254,536
4mxx,P12931,B,254,536
4mxy,P12931,A,254,536
4mxy,P12931,B,254,536
4mxz,P12931,A,254,536
4mxz,P12931,B,254,536
4nwf,Q06124,A,1,539
4nwf,Q06124,B,1,539
4nwg,Q06124,A,1,539
4nwg,Q06124,B,1,539
4nwm,Q06187,A,396,657
4nwm,Q06187,B,396,657
4ohd,Q06124,A,1,528
4ohe,Q06124,A,1,528
4ohh,Q06124,A,1,528
4ohi,Q06124,A,1,528
4ohl,Q06124,A,1,528
4ohl,Q06124,B,1,528
4orz,P08631,A,77,138
4ot5,Q06187,A,378,659
4ot6,Q06187,A,378,659
4otf,Q06187,A,392,657
4otq,Q06187,A,378,659
4otr,Q06187,A,378,659
4ovu,P27986,B,322,600
4ovv,P27986,B,322,600
4p9v,P62993,A,53,163
4p9z,P62993,A,53,163
4pp9,Q08881,A,357,620
4pp9,Q08881,B,357,620
4ppa,Q08881,A,357,620
4ppa,Q08881,B,357,620
4ppb,Q08881,A,357,620
4ppb,Q08881,B,357,620
4ppc,Q08881,A,357,620
4ppc,Q08881,B,357,620
4pqn,Q08881,A,357,620
4puz,P43405,A,353,635
4puz,P43405,B,353,635
4pv0,P43405,A,363,635
4pvg,Q06124,A,240,528
4px6,P43405,A,356,635
4qd6,Q08881,A,357,620
4qd6,Q08881,B,357,620
4qsy,Q06124,A,1,106
4rdd,Q06124,A,262,528
4rfm,Q08881,A,357,620
4rfy,Q06187,A,378,659
4rfz,Q06187,A,378,659
4rg0,Q06187,A,378,659
4roj,P52735,A,667,782
4roj,P52735,B,667,782
4roj,P52735,C,667,782
4rss,P43405,A,356,635
4rx5,Q06187,A,393,657
4rx7,P43405,A,356,635
4rx8,P43405,A,356,635
4rx9,P43405,A,356,635
4twp,P00519,A,233,503
4twp,P00519,B,233,503
4u17,P06241,A,148,248
4u17,P06241,B,148,248
4u17,P06241,C,148,248
4u1p,P06241,A,148,248
4u5w,P08631,B,72,242
4u5w,P08631,D,72,242
4wa9,P00519,A,246,512
4wa9,P00519,B,246,512
4waf,P27986,B,306,617
4wnm,P43405,A,343,635
4wwq,Q14451,A,415,532
4wwq,Q14451,B,415,532
4x6s,Q14451,A,423,529
4x6s,Q14451,B,423,529
4xey,P00519,A,119,515
4xey,P00519,B,119,515
4xg2,P43405,A,356,635
4xg3,P43405,A,356,635
4xg3,P43405,B,356,635
4xg4,P43405,A,356,635
4xg6,P43405,A,356,635
4xg7,P43405,A,356,635
4xg8,P43405,A,356,635
4xg8,P43405,C,356,635
4xg9,P43405,A,356,635
4xg9,P43405,B,356,635
4xwx,P29353,A,147,311
4xz0,P43403,A,1,259
4xz1,P43403,A,1,259
4yc8,P00519,A,229,512
4yc8,P00519,B,229,512
4yhf,Q06187,A,382,659
4yhf,Q06187,B,382,659
4yjo,P43405,A,355,635
4yjp,P43405,A,355,635
4yjq,P43405,A,355,635
4yjr,P43405,A,355,635
4yjs,P43405,A,355,635
4yjt,P43405,A,355,635
4yju,P43405,A,355,635
4yjv,P43405,A,355,635
4ykn,P27986,A,318,615
4z3v,Q06187,A,382,659
4zly,Q06187,A,389,658
4zlz,Q06187,A,389,658
4znx,P06241,A,84,141
4znx,P06241,B,84,141
4znx,P06241,C,84,141
4znx,P06241,D,84,141
4zog,P00519,A,229,511
4zog,P00519,B,229,511
4zop,P27986,B,306,590
5aul,P27986,A,614,720
5bo4,O14508,A,32,198
5bo4,O14508,D,32,198
5bo4,O14508,G,32,198
5bo4,O14508,J,32,198
5bo4,O14508,M,32,198
5bo4,O14508,P,32,198
5bpy,Q06187,A,396,659
5bpy,Q06187,B,396,659
5bq0,Q06187,A,382,659
5c26,P43405,A,343,635
5c27,P43405,A,343,635
5cdw,P62993,A,54,153
5cdw,P62993,B,54,153
5cdw,P62993,C,54,153
5cdw,P62993,E,54,153
5cdw,P62993,G,54,153
5cdw,P62993,H,54,153
5cdw,P62993,K,54,153
5cdw,P62993,L,54,153
5cdw,P62993,O,54,153
5cdw,P62993,P,54,153
5cdw,P62993,U,54,153
5cdw,P62993,V,54,153
5cdw,P62993,Y,54,153
5cdw,P62993,Z,54,153
5cdw,P62993,c,54,153
5cdw,P62993,d,54,153
5cxh,P43405,A,356,635
5cxz,P43405,A,356,635
5cy3,P43405,A,356,635
5czi,P29353,B,345,353
5d0j,Q14451,A,415,532
5d0j,Q14451,B,415,532
5d0j,Q14451,C,415,532
5d0j,Q14451,D,415,532
5d7v,Q13882,A,185,446
5d7v,Q13882,B,185,446
